Car_ID,Brand,Model_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine_CC,Max_Power_bhp,Mileage_kmpl,Seats,Price_USD,Vehicle_Age,Price_per_bhp,Brand_Segment,Mileage_Category,Age_Category
1,Audi,2005,197018,Diesel,Manual,First,4046,223.6,29.61,6,119611.94,21,534.9371198568873,Premium,Very High,
2,BMW,2019,43467,Hybrid,Automatic,First,3731,248.4,21.66,5,90842.46,7,365.71038647343,Premium,Low,Recent
3,Kia,2012,153697,Hybrid,Automatic,Third,4925,465.5,12.14,6,78432.24,14,168.49031149301828,Mass Market,Very High,Very Old
4,Mercedes,2015,38893,Petrol,Automatic,Second,3771,229.7,19.65,6,44568.89,11,194.03086634740967,Premium,Low,Older
5,Audi,2016,81329,Hybrid,Automatic,First,2817,573.2,7.74,5,8751.82,10,15.268353105373341,Premium,Moderate,Older
6,Volkswagen,2016,36007,Petrol,Automatic,Third,3215,453.2,29.15,7,6633.65,10,14.637356575463372,Mass Market,Low,Older
7,Ford,2008,175604,Electric,Manual,First,3896,374.6,9.37,6,67839.21,18,181.09773091297384,Mass Market,Very High,Very Old
8,Audi,2020,59253,Electric,Manual,First,2409,533.3,21.2,6,92157.83,6,172.80673167072945,Premium,Moderate,Recent
9,Kia,2008,17323,Hybrid,Manual,Second,1517,67.8,11.14,6,65873.37,18,971.583628318584,Mass Market,Low,Very Old
10,Mercedes,2009,116335,Hybrid,Manual,First,4361,184.0,22.94,6,101371.85,17,550.9339673913043,Premium,High,Very Old
11,BMW,2009,117356,Diesel,Automatic,Third,1816,300.4,24.42,5,6910.9,17,23.00565912117177,Premium,High,Very Old
12,Kia,2012,115944,Hybrid,Automatic,Third,4365,167.1,21.84,7,45909.99,14,274.7456014362657,Mass Market,High,Very Old
13,Kia,2014,150282,Diesel,Automatic,Second,2760,456.6,20.36,7,30737.24,12,67.31765221200175,Mass Market,Very High,Older
14,Ford,2021,21456,Electric,Manual,First,1848,554.8,27.31,2,55330.94,5,99.7313266041817,Mass Market,Low,Recent
15,Hyundai,2013,36367,Electric,Automatic,Third,2157,277.3,6.97,6,11468.04,13,41.35607645149658,Mass Market,Low,Very Old
16,Mercedes,2023,59624,Petrol,Manual,First,4226,231.6,13.27,6,114633.4,3,494.9628670120898,Premium,Moderate,New
17,Honda,2018,146178,Electric,Automatic,First,915,578.5,11.21,2,29120.88,8,50.338599827139156,Mass Market,High,Older
18,Kia,2012,73008,Diesel,Automatic,First,2895,289.1,29.7,7,110910.01,14,383.63891387063296,Mass Market,Moderate,Very Old
19,Hyundai,2013,130926,Hybrid,Manual,Second,2601,313.9,14.73,4,52829.5,13,168.30041414463207,Mass Market,High,Very Old
20,Honda,2015,120395,Petrol,Manual,First,2946,236.9,23.32,4,118306.32,11,499.39349936682146,Mass Market,High,Older
21,Mercedes,2005,121492,Diesel,Automatic,Third,2420,549.3,22.12,7,67824.83,21,123.47502275623522,Premium,High,
22,Toyota,2018,77240,Hybrid,Automatic,First,3750,358.6,10.3,6,111907.45,8,312.0676240936977,Mass Market,Moderate,Older
23,Volkswagen,2009,69315,Petrol,Manual,Third,4592,466.8,10.97,4,3625.83,17,7.767416452442159,Mass Market,Moderate,Very Old
24,Hyundai,2018,15756,Electric,Automatic,First,3741,494.6,12.03,5,90543.94,8,183.06498180347756,Mass Market,Low,Older
25,Nissan,2008,41378,Diesel,Automatic,Third,1777,231.4,15.28,5,108656.93,18,469.56322385479683,Mass Market,Low,Very Old
26,Toyota,2005,140327,Hybrid,Manual,Third,3866,282.9,10.86,2,19347.31,21,68.38921880523154,Mass Market,High,
27,Volkswagen,2023,150556,Petrol,Automatic,First,1583,515.1,5.49,7,14246.72,3,27.658163463405163,Mass Market,Very High,New
28,Ford,2012,130703,Petrol,Manual,First,1040,243.4,26.98,7,52675.0,14,216.41331142152833,Mass Market,High,Very Old
29,Audi,2019,61549,Electric,Automatic,Third,2353,484.6,29.14,4,112240.43,7,231.61458935204288,Premium,Moderate,Recent
30,BMW,2019,170575,Hybrid,Manual,Second,1812,567.0,13.54,6,66459.23,7,117.21204585537919,Premium,Very High,Recent
31,Nissan,2013,78794,Electric,Automatic,First,986,389.0,13.46,7,64712.41,13,166.35580976863753,Mass Market,Moderate,Very Old
32,Ford,2013,50113,Electric,Manual,Second,2681,455.3,5.18,4,19511.76,13,42.854733142982646,Mass Market,Moderate,Very Old
33,Mercedes,2014,79069,Hybrid,Automatic,First,1230,490.9,22.01,4,3092.37,12,6.299388877571807,Premium,Moderate,Older
34,Ford,2024,141321,Hybrid,Manual,First,1038,513.2,25.64,7,97786.39,2,190.54245908028057,Mass Market,High,New
35,Audi,2013,155273,Hybrid,Automatic,First,3145,261.2,8.67,4,13246.22,13,50.712940275650844,Premium,Very High,Very Old
36,Mercedes,2007,130541,Diesel,Automatic,First,875,68.7,8.99,2,77160.43,19,1123.1503639010189,Premium,High,Very Old
37,Nissan,2024,194648,Hybrid,Automatic,Second,2156,265.1,24.75,2,110010.13,2,414.97597133157296,Mass Market,Very High,New
38,Audi,2015,14686,Petrol,Automatic,First,3130,417.3,20.41,7,27412.27,11,65.68959980829139,Premium,Low,Older
39,Honda,2010,58363,Electric,Automatic,Third,2702,292.2,6.12,6,80836.92,16,276.6492813141684,Mass Market,Moderate,Very Old
40,BMW,2006,102543,Diesel,Automatic,Third,4813,459.4,20.56,2,12207.73,20,26.57320417936439,Premium,High,Very Old
41,Nissan,2011,136733,Hybrid,Automatic,Second,2859,239.9,12.72,2,73639.35,15,306.9585243851605,Mass Market,High,Very Old
42,Honda,2022,180915,Diesel,Automatic,First,940,395.5,14.22,7,22180.01,4,56.08093552465233,Mass Market,Very High,Recent
43,Volkswagen,2006,100673,Hybrid,Automatic,Third,2589,144.4,24.24,5,89106.57,20,617.0815096952908,Mass Market,High,Very Old
44,Nissan,2021,197035,Diesel,Manual,Second,4426,459.6,25.27,4,38244.06,5,83.2116187989556,Mass Market,Very High,Recent
45,Volkswagen,2015,47828,Electric,Manual,First,816,345.6,15.01,2,57216.75,11,165.55772569444443,Mass Market,Low,Older
46,Mercedes,2016,53604,Electric,Automatic,Third,1264,154.3,28.68,5,73133.37,10,473.96869734283854,Premium,Moderate,Older
47,Honda,2023,15526,Petrol,Manual,Third,2627,203.5,15.16,6,23038.99,3,113.21371007371008,Mass Market,Low,New
48,BMW,2011,73910,Petrol,Automatic,Second,3828,459.2,24.3,5,89771.62,15,195.4956881533101,Premium,Moderate,Very Old
49,Audi,2024,30592,Hybrid,Automatic,First,1319,310.3,17.1,7,38408.92,2,123.77995488237188,Premium,Low,New
50,Kia,2010,33982,Electric,Manual,First,889,161.0,27.44,6,80497.51,16,499.98453416149067,Mass Market,Low,Very Old
51,Ford,2005,5207,Diesel,Automatic,Third,3651,581.7,27.69,6,21519.12,21,36.993501805054144,Mass Market,Low,
52,Toyota,2021,93733,Diesel,Automatic,Third,3643,440.5,7.19,5,83509.77,5,189.5795005675369,Mass Market,Moderate,Recent
53,BMW,2015,129982,Diesel,Manual,Third,2684,576.0,28.41,7,17998.0,11,31.24652777777778,Premium,High,Older
